,LocatiePostcode,Soort aanvraagOmschrijvingKadastrale aanduiding,BVnummer,DatumBinnenkomst,Einddatum  ,EindStatus
28,Noordeinde 382311CE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestauratie van dak en voorgevelF 01529G0000,190836,28-03-2019,,
29,Octavialaan 662314CP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren dakuitbouw aan de voorzijdeT 06716G0000,183347,31-12-2018,29-03-2019,Verleend
30,Pieterskerkgracht 92311SZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestauratie decoratieschilderwerkG 01301G0000,190296,01-02-2019,29-03-2019,Verleend
31,Raamstraat 202316BB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureisoleren begane grondvloer en wijzigen voordeur kozijnK 04810G0000,190851,31-03-2019,,
32,Rijn en Schiekade 562311AM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van een boomM 01387G0000,190878,03-04-2019,,
33,Rijnsburgersingel 612316XX,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Ziggo B.V.,190752,19-03-2019,28-03-2019,Verleend
34,Rooseveltstraat 2D2321BM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebedrijfslocatie begane grond als woonkamer gebruiken,190211,24-01-2019,03-04-2019,Verleend
35,Schelpenkade 442313ZW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van zonnepanelenM 02840G0000,190850,30-03-2019,,
36,Schipholweg 1302316XD,Omgevingsvergunning Omgevingsvergunning Onbekende Proceduretijdelijk wijzigen gebruik naar een evenementenlocatieL 01921G0000,190208,29-03-2019,,
37,Staalwijkstraat 182313XR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwM 02862G0000,190865,02-04-2019,,
38,Stationsweg 302312AV,Aanvraag ontheffing ex artikel 35 DHWontheffing ex artikel 35 DHW (buitentap en standplaats Leidens Ontzet 2019)L 01874G0000,190858,01-04-2019,,
39,Steenstraat 12312BS,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap Wereldfair)B 03520G0000,190876,03-04-2019,04-04-2019,Verleend
40,Steenstraat 192312BT,Aanvraag Drank- en Horecaverlof regulierdrank- en horecaverlofB 02289G0000,190872,03-04-2019,10-04-2019,Verleend
41,Steenstraat 192312BT,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningB 02289G0000,190873,03-04-2019,,
42,Steenstraat 19A2312BT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen reclamebord,190831,27-03-2019,,
43,Utrechtse Veer 312311ND,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten),190840,29-03-2019,02-04-2019,Verleend
44,Verdamstraat 562313PN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureslopen muurQ 00181G0000,190871,03-04-2019,,
45,Ververstraat 342312LV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevergroten uitbouwC 01651G0000,183159,09-12-2018,01-04-2019,Verleend
46,Vlietweg 68b2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurenieuwbouw opslaggebouwV 02232,183063,28-11-2018,28-03-2019,Verleend
47,Vrouwensteeg 82312DZ,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)H 01995G0000,190855,01-04-2019,02-04-2019,Verleend
48,Wassenaarseweg 12333AM,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)P 03166G0000,190848,29-03-2019,02-04-2019,Verleend
49,Wassenaarseweg 12333AM,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningP 03166G0000,190867,03-04-2019,,
50,Watergeuzenstraat 132313WX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van zonnepanelenM 08524G0000,190838,29-03-2019,,
51,Willemstraat 22316CS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekap hoofdgebouw doorzetten over bestaand platte dakK 02597G0000,182745,31-01-2019,28-03-2019,Verleend
52,Zernikedreef 92333CK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanleggen nieuwe inritX 03976G0000,190853,01-04-2019,,
0,2e Binnenvestgracht 152312BZ,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)B 02598G0000,190785,22-03-2019,,
1,Agaatlaan 12332RA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie en onderhoud van 229 woningen,190529,25-02-2019,26-03-2019,Verleend
2,Archimedesweg 2333CM,Kabels en Leidingen Gebruik Openbare RuimteAanleggen telecommunicatiekabels Brightfiber B.V.,190186,08-01-2019,22-03-2019,Verleend
3,Beestenmarkt 102312CC,Aanvraag ontheffing ex artikel 35 DHWintheffing art 35 DHW (buitentap en standplaats Leidens Ontzet 2019)B 03224A0001,190815,26-03-2019,,
4,Breestraat 1772311CP,Aanvraag ontheffing ex artikel 35 DHWontheffing art.35 DHW (buitentap en standplaats Leidens Ontzet 2019)G 01869G0000,190813,26-03-2019,,
5,Cesar Franckstraat 92324JM,Kabels en Leidingen Gebruik Openbare RuimteAanleggen telecommunicatiekabels St. Leidse Infrastructuur BundelingO 03338G0000,190690,07-03-2019,27-03-2019,Verleend
6,Einsteinweg Archimedesweg ,Kabels en Leidingen Gebruik Openbare RuimteAanleggen telecommunicatiekabels Brightfiber B.V.,190188,17-01-2019,26-03-2019,Verleend
7,Flevoweg 132318BZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar escaperoomS 05148G0000,182651,14-10-2018,26-03-2019,Verleend
8,Griegstraat 382324BA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voordakvlakO 03104G0000,190810,25-03-2019,,
9,Kraanbaan 122321PN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwO 05054,183051,27-11-2018,21-03-2019,Verleend
10,Morsstraat 352312BK,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)B 02920G0000,190786,22-03-2019,27-03-2019,Verleend
11,Morsstraat 662312BN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van douche en toilet,183267,19-12-2018,27-03-2019,Verleend
12,Morsweg 182312AD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureinterne constructieve wijzigingenL 01951G0000,190800,25-03-2019,,
13,Nieuwe Rijn 272312JD,Aanvraag ontheffing ex artikel 35 DHWontheffing artikel 35 DHW (buitentap en standplaats Koningsnacht en -dag 2019)I 02277G0000,190741,18-03-2019,27-03-2019,Verleend
14,Nieuwe Rijn 37A2312JG,Aanvraag ontheffing ex artikel 35 DHWontheffing ex artikel 35 DHW (buitentap en standplaats Koningsnacht en -dag 2019),190803,25-03-2019,27-03-2019,Verleend
15,Nieuwe Rijn 37A2312JG,Aanvraag ontheffing ex artikel 35 DHWontheffing ex artikel 35 DHW (buitentap en standplaats Peurbakkentocht 2019),190805,25-03-2019,,
16,Nieuwe Rijn 37A2312JG,Aanvraag ontheffing ex artikel 35 DHWontheffing ex artikel 35 DHW (buitentap en standplaats Leidens Ontzet 2019),190806,25-03-2019,,
17,Opaalstraat 802332TL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van balkonX 03331A0069,190822,27-03-2019,,
18,Oude Rijn 252312HB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw woningI 00017G0000,190808,25-03-2019,,
19,Overrijn 52315KA,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretwee verdiepingen verbouwen tot 9 appartementenK 05152,183116,05-12-2018,26-03-2019,Verleend
20,Pelgrimspoort 2311RP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurehet samenvoegen en verbouwen van de woningen tot 1 woning  Pelgrimspoort 7 en 8G 02258,182977,20-11-2018,27-03-2019,Verleend
21,Pelikaanstraat 252312DW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen winkel naar woningH 03895G0000,190136,22-03-2019,,
22,Pieterskerk-Choorsteeg 222311TR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik bovenwoning naar workshopruimteG 00764G0000,190828,27-03-2019,,
23,Plantsoen 111A2311KM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureconstructieve doorbraak en diverse onderhoudswerkzaamhedenE 01843A0002,183344,29-12-2018,26-03-2019,Verleend
24,Rijndijk 1062331AJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen van steigerW 02832G0000,190823,27-03-2019,,
25,Rijndijk 238A2331AM,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurenieuwbouw 3 woningenW 04020G0000,190829,27-03-2019,,
26,Rijnsburgerweg 392334BG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen zonnepanelenP 01347G0000,190776,20-03-2019,,
27,Rooseveltstraat 652321CT,Kabels en Leidingen Telecomaanleggen telecommunicatiekabels Ziggo B.V.O 02540G0000,190327,04-02-2019,27-03-2019,Verleend
28,Rosmolen 1702317SN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen kozijnenS 00441A0083,190827,27-03-2019,,
29,Singelpark ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanleg brug Meelfabriek en kappen van 1 boomB 03639,190781,21-03-2019,,
30,Spieghelstraat 12332BC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiden woning met opbouwR 00234G0000,190430,14-02-2019,25-03-2019,Verleend
31,Spieghelstraat 32332BC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwR 00235G0000,183025,31-01-2019,25-03-2019,Verleend
32,Spoorbloem 232317LH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbouw voorzijde woningS 01713G0000,190788,22-03-2019,,
33,Steenstraat 252312BT,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningB 00224G0000,190804,25-03-2019,,
34,Stille Mare 12312DH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen indeling pandH 04355G0000,183185,12-12-2018,27-03-2019,Verleend
35,Stille Rijn 1A2312DE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw 3 woningen tot 8 zelfstandige wooneenheden,190809,25-03-2019,,
36,Sumatrastraat 1952315BD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van 17 bomen voor de nieuwbouw van 82 appartementenN 01381G0000,182976,20-11-2018,25-03-2019,Verleend
37,Toussaintkade 512321VX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van 45 bomen  Toussaintkade 50/51O 02114G0000,190814,26-03-2019,,
38,Utrechtse Veer 1A2311NB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen naar 3 appartementen  Utrechtse Veer 1 - 1A,181332,14-05-2018,25-03-2019,Verleend
39,Utrechtse Veer 1A2311NB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureonderhoud en restauratie gevel,181706,22-06-2018,25-03-2019,Verleend
40,Van der Blom Vijlbriefstraat ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van een boom  overzijde nummer 20W 07096,190801,25-03-2019,26-03-2019,Verleend
41,Van der Helmlaan 72321EA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevergroten dakkapel aan voor- en achtergevelzijdeO 04604G0000,190821,26-03-2019,,
42,Verbeekstraat 12332CA,Stadsschoongevel beplakkingX 03897G0000,190525,25-02-2019,26-03-2019,Verleend
43,Vlietweg 66F2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen tuinhuis en luifel  tuinnr. 65,190067,09-01-2019,21-03-2019,Verleend
44,Vondellaan 472332AA,Kabels en Leidingen Gebruik Openbare Ruimteaanleggen telecommunicatiekabels SLIBR 01782G0000,190618,06-03-2019,27-03-2019,Verleend
45,Vossebes 1MK22318BB,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Ziggo B.V.,190739,18-03-2019,27-03-2019,Verleend
46,Watergeuzenstraat 192313WX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen zonnepanelenM 08521G0000,190802,25-03-2019,,
47,Willem de Zwijgerlaan 2A2316GB,Stadsschoonplaatsen naamaanduidingK5913,190779,21-03-2019,,
48,Zaalsportstraat 212316LH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwK 06359G0000,190528,25-02-2019,26-03-2019,Verleend
49,Zoeterwoudsesingel 732313EL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen zonnepanelenM 04174G0000,190228,25-01-2019,26-03-2019,Verleend
0,Aalmarkt 212311EC,Aanvraag ontheffing ex artikel 35 DHWontheffing art. 35 DHW (buitentap en standplaats Koningsnacht en -dag)G 01923G0000,190773,20-03-2019,01-04-2019,Afgehandeld
1,Aaltje Noordewierlaan 522324KT,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)O 03123G0000,190697,13-03-2019,14-03-2019,Verleend
2,Alexanderstraat 12316NH,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Ziggo B.V.K 06025G0000,190368,11-02-2019,19-03-2019,Verleend
3,Anjelierstraat 52313XA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen clubgebouw,183085,30-11-2018,20-03-2019,Verleend
4,Anke Servaespad 12331EW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen/vergroten dakkapel voorW 04821G0000,190153,18-01-2019,14-03-2019,Verleend
5,Ballonpad 2312NC,Kabels en Leidingen NutsAanleggen waterleidingen Dunea,182243,27-08-2018,20-03-2019,Verleend
6,Blauwkarper 132318NM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van dakkapelS 02779G0000,190476,19-02-2019,19-03-2019,Verleend
7,Boerhaavelaan 442334ER,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van 3 windturbines en gevelreclame,190744,18-03-2019,,
8,Bonairestraat 192315XB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureintern wijzigen onzelfstandige woonruimte naar bijeenkomstruimteN 01830G0000,183048,27-11-2018,14-03-2019,Verleend
9,Boommarkt 3MK22311EA,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Ziggo B.V.,190371,08-02-2019,19-03-2019,Verleend
10,Brandts Buyskade 182324LS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen gevelreclameO 03700G0000,190730,14-03-2019,,
11,Breestraat 162311CR,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)G 01610G0000,190722,15-03-2019,19-03-2019,Verleend
12,Breestraat 1672311CP,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)G 02294A0004,190737,18-03-2019,19-03-2019,Verleend
13,De Ruijterstraat 312315LK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen kantoor naar 5 zelfstandige appartementenK 03168G0000,190750,19-03-2019,,
14,Duivenbodestraat 52313XS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevergroten 1e verdieping en plaatsen dakopbouwM 02593G0000,190054,20-03-2019,,
15,Duyvendakstraat 172313PZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen van een dakkapel aan de voorzijdeQ 00626G0000,190196,23-01-2019,20-03-2019,Verleend
16,Esther de Boer-v Rijkstr 112331HH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voordakvlakW 04966G0000,190609,06-03-2019,19-03-2019,Verleend
17,Fagelstraat 292334AW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverwijderen interne constructieve muurP 01495G0000,183002,22-11-2018,14-03-2019,Verleend
18,Flevoweg 52318BZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren bedrijfsverzamelgebouw met 13 bedrijfsunitsS 03516G0000,183150,07-12-2018,14-03-2019,Verleend
19,Gandhistraat 142332ZZ,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Ziggo B.V.X 03531G0000,190616,06-03-2019,18-03-2019,Verleend
20,Haagse Schouwweg ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsing tijdelijk reclamebordX 04015,190764,20-03-2019,,
21,Haagweg 2392324ND,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen betonnen casco woonark,190760,19-03-2019,,
22,Haarlemmerstraat 222312GA,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)H 01943G0000,190684,12-03-2019,14-03-2019,Verleend
23,Haarlemmerstraat 1272312DN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen gevelreclameH 00518,190715,14-03-2019,,
24,Henriëtte van der Meystr 162331SE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakopbouwW 05691G0000,190706,13-03-2019,,
25,Hoge Rijndijk 322313KJ,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)M 02193G0000,190691,13-03-2019,14-03-2019,Verleend
26,Hoge Rijndijk 1262313KN,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)M 03668G0000,190723,15-03-2019,19-03-2019,Verleend
27,Johan de Wittstraat 212334AM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik opslag naar kamergewijze verhuurP 02108G0000,190718,14-03-2019,,
28,Julius Rontgenstraat 142324XN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van 1 witte paardekastanjeO 04754G0000,190745,18-03-2019,,
29,Kaasmarkt 102312HZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terras,190540,26-02-2019,14-03-2019,Verleend
30,Kaasmarkt 102312HZ,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunning,190571,04-03-2019,14-03-2019,Verleend
31,Kaiserstraat 112311GN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestauratie en verbouwing achterhuisF 00437G0000,190513,19-03-2019,,
32,Kloksteeg 132311SK,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning,190742,18-03-2019,,
33,Kloksteeg 132311SK,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunning,190743,18-03-2019,,
34,Kloksteeg 16A2311SL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureoverkappen binnenplaats en interne wijzigingenG 00979G0000,190767,20-03-2019,,
35,Kort Rapenburg 42311GC,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)G 01595G0000,190716,14-03-2019,14-03-2019,Verleend
36,Lammenschansplein 22321JA,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten),190710,14-03-2019,14-03-2019,Verleend
37,Lange Mare 762312GT,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Ziggo B.V.,190614,07-03-2019,18-03-2019,Verleend
38,Langebrug 6A2311TK,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)G 01796G0000,190721,15-03-2019,19-03-2019,Verleend
39,Langegracht 32312NV,Kabels en Leidingen TelecomAanleggen telecommunicatiekabels Ziggo B.V.,190617,06-03-2019,18-03-2019,Verleend
40,Leuvenstraat 522313XZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van dakkapel aan voor en achtergevelM 07593G0000,190713,14-03-2019,,
41,Maresingel 32316HA,Omgevingsvergunning Omgevingsvergunning Reguliere ProcedureRealiseren dakopbouw en 18 appartementen op de verdiepingenK 05105G0000,163046,01-11-2018,19-03-2019,Verleend
42,Morsstraat 242312BM,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)B 02197G0000,190712,14-03-2019,14-03-2019,Verleend
43,Morsweg 1822332ES,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen damwandP 03335G0000,190200,23-01-2019,19-03-2019,Verleend
44,Nieuwe Rijn 22312JB,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduredoorbraak maken tussen Nieuwe Rijn 1 en 2I 01710G0000,190761,19-03-2019,,
45,Nieuwe Rijn 272312JD,Aanvraag ontheffing ex artikel 35 DHWontheffing artikel 35 DHW (buitentap en standplaats Koningsnacht en -dag 2019)I 02277G0000,190741,18-03-2019,27-03-2019,Verleend
46,Nieuwstraat 112312KA,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten)I 02547G0000,190748,19-03-2019,19-03-2019,Verleend
47,Nieuwstraat 452312KA,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning (rechtsvorm wijziging)I 03257G0000,190487,20-02-2019,14-03-2019,Verleend
48,Ommedijkseweg ,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedureaanpassen drie bestaande uitritten  (RijnlandRoute)W 07055,183170,10-12-2018,19-03-2019,Verleend
49,Oosterstraat 2315LB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen 2 huismussentillen  t.h.v. nr. 96K 05579,190187,23-01-2019,20-03-2019,Verleend
50,Oude Singel 322312RA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen display met openingstijden,190711,14-03-2019,,
51,Paramaribostraat 662315VK,Aanvraag aanwezigheidsvergunning kansspelautomatenaanwezigheidsvergunning (kansspelautomaten),190728,15-03-2019,18-03-2019,Afgehandeld
52,Pieterskerkgracht 2A2311SZ,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresplitsen woning in 2 appartementenG 01336G0000,190763,20-03-2019,,
53,Plesmanlaan 2333BZ,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurebouwen viaduct Plesmanlaan en de ongelijkvloerse fietsverbinding door het knooppunt Leiden-WestX 04064,182106,27-11-2018,19-03-2019,Verleend
54,Schipholweg 1302316XD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen woongebouw met 140 woningen en brandweerkazerneL 01921,190126,18-03-2019,,
55,Schouwenhove 272332DP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van 130 all-black zonnepanelen op zuidelijke kopgevel,190274,19-03-2019,,
56,Schuttersveld 12316XG,Kabels en Leidingen NutsAanleggen elektraleidingen Liander NVL 01903G0000,182458,19-09-2018,20-03-2019,Verleend
57,Sint Jorissteeg 132311JA,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningD 00498G0000,190379,11-02-2019,14-03-2019,Verleend
58,Spieghelstraat 292332BC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwR 00248G0000,183129,05-12-2018,19-03-2019,Verleend
